Emerging market by exchanges,,
,,
,,Domicile
Company,,Country
Symbol,Company Name,Name
,,
B0CT6C,#NAME?,MEXICO
B2QVXT,01Cyberaton S.A.,POLAND
B1SF2F,1 Utopia Bhd.,MALAYSIA
B13QVP,1001 Optical Co Lt Krw500,SOUTH KOREA
B033QQ,104 Corporation,TAIWAN
B5KQ0S,11 Bit Studios SA,POLAND
633978,1St Intl Trust Zar0.25,SOUTH AFRICA
635308,1St Lifestyle Zar0.001,SOUTH AFRICA
633971,1St Malaysia Prop Myr1,MALAYSIA
B23YQW,1time Holdings Ltd,SOUTH AFRICA
B96BWP,20 Microns Limited,INDIA
B7FCY8,"2GO Group, Inc.",PHILIPPINES
B41GWW,2S Metal Public Co. Ltd.,THAILAND
654837,3D World Co Ltd Krw500,SOUTH KOREA
B6RKTC,"3DFAMILY Technology Co., Ltd.",TAIWAN
B06965,3i Infotech Limited,INDIA
609849,3M India Limited,INDIA
B23Y9G,3NOD Digital Group Co Ltd.,SOUTH KOREA
642393,"3One Co., Ltd.",SOUTH KOREA
659946,"3S Korea Co., Ltd",SOUTH KOREA
632208,3Soft. Inc.,SOUTH KOREA
B2R9XQ,4fun Media SA,POLAND
523897,4Media Sa Pln1(Ser D),POLAND
210431,525 Participacoes,BRAZIL
B6S8S3,5th Avenue Holding SA,POLAND
B4R74R,7Seas Entertainment Limited,INDIA
BFG0SY,"8990 Holdings, Inc.",PHILIPPINES
B04F5C,8K Miles Software Services Limited,INDIA
B05KKM,A & M Realty Bhd.,MALAYSIA
614727,"A Brown Co., Inc.",PHILIPPINES
206383,A C Mexicana Ser'B1'Mxn0.20,MEXICO
600920,A E C I Limited,SOUTH AFRICA
619547,"A-Motion Co., Ltd",SOUTH KOREA
B08GQF,A-Rank Bhd.,MALAYSIA
B3XYJM,"A-Tech Solution Co., Ltd.",SOUTH KOREA
B1VKJ2,A. K. Capital Services Ltd.,INDIA
678328,A. Soriano Corp.,PHILIPPINES
B1RJL2,A.I. Champdany Industries Ltd.,INDIA
653911,"A.J. Plast Public Co., Ltd.",THAILAND
B517B1,A2Z Maintenance & Engineering Services Limited,INDIA
B2498M,AAA Auto Group NV,NETHERLANDS
B0S02G,Aabar Petroleum Invest,UNITED ARAB EMIRATES
B0737L,Aadhaar Ventures India Limited,INDIA
B03LWB,Aadi Industries Limited,INDIA
617909,Aaeon Technology I Twd10,TAIWAN
637972,Aagam Capital Ltd.,INDIA
B29VJZ,Aamal Company Q.S.C.,QATAR
B05LZ2,Aapico Forging Pcl Thb5(Local),THAILAND
B013L8,AAPICO Hitech Public Co. Ltd.,THAILAND
B059BQ,Aarey Drugs & Pharmaceuticals Ltd.,INDIA
642439,Aarti Drugs Limited,INDIA
B0VX28,AARTI Industries Ltd,INDIA
B03PGX,Aarvee Denims & Exports Ltd.,INDIA
604313,Aarya Global Shares & Securities Ltd.,INDIA
B7LGNG,Aashee Infotech Ltd.,INDIA
B069F2,AASTHA Broadcasting Network Ltd,INDIA
B03PGY,Aaswa Trading & Exports Ltd.,INDIA
B1FHB0,AB S.A.,POLAND
200972,Abaco Grupo Financ Ser'A'Mxn2,MEXICO
200973,Abaco Grupo Financ Ser'B'Mxn2,MEXICO
B3FMY6,AbaCore Capital Holdings Inc,PHILIPPINES
603989,Abacus Technology Zar0.001,SOUTH AFRICA
B4PR5Y,Abak S.A.,POLAND
B07Y0K,Aban Offshore Limited,INDIA
B03MMX,Abana Elek Try1,TURKEY
B1Y9QS,ABB India Limited,INDIA
204909,ABB S.A.,PERU
B04QL3,Abba Linear Tech C Twd10,TAIWAN
615059,Abbott India Limited,INDIA
632469,ABC Bearings Limited,INDIA
B62YP0,ABC Data S.A.,POLAND
B05BQC,ABC Gas (International) Limited,INDIA
641068,ABC India Limited,INDIA
672824,ABC Taiwan Electronics Corp.,TAIWAN
658980,"Abco Electronics Co., Ltd",SOUTH KOREA
B23XCG,Abe Construction C Zar0.01,SOUTH AFRICA
B3ZRM3,Abeonet SA,POLAND
600250,Abercom Group Npv,SOUTH AFRICA
583422,Abg,POLAND
673215,ABG Infralogistics Limited,INDIA
B00CWW,ABG Shipyard Ltd,INDIA
B04KVV,Abhinav Capital Services Limited,INDIA
B16MKH,Abhishek Corporation Limited,INDIA
671818,"ABICO FS Co., Ltd",TAIWAN
B0VXV3,Abico Holdings PCL,THAILAND
600518,"Ability Enterprise Co., Ltd.",TAIWAN
B01VHP,Ability Opto-Electronics Technology Co. Ltd.,TAIWAN
627190,Abit Computer,TAIWAN
637311,ABL Biotechnologies Ltd.,INDIA
B05KY5,"Able C & C Co., Ltd.",SOUTH KOREA
B1GJ8D,AbleGroup Bhd.,MALAYSIA
B3YTY1,"Ablerex Electronics Co., Ltd.",TAIWAN
BCF55Q,ABM Fujiya Bhd.,MALAYSIA
630056,ABM Knowledgeware Limited,INDIA
B237XB,ABM Solid SA,POLAND
B39GDD,Abnova Taiwan Corp.,TAIWAN
629594,"AboCom Systems, Inc.",TAIWAN
606841,Aboitiz Equity Ventures Inc.,PHILIPPINES
B1Z9Q9,Aboitiz Power Corp.,PHILIPPINES
B0SD6T,Abomem Tech Corp Twd10,TAIWAN
600547,Abou Kir Fertilizers & Chemical Industries Co.,EGYPT
B4Q6JM,"Abov Semiconductor Co., Ltd",SOUTH KOREA
B8DTGN,Abpol Co. Polska SA,POLAND
600503,Abra Mining & Industrial Corp.,PHILIPPINES
644528,Abrar Corp,MALAYSIA
B7Y08Q,Abrau-Durso JSC,RUSSIA
613711,Abric Bhd.,MALAYSIA
B3NP0T,ABS INVESTMENT S.A.,POLAND
600523,ABS-CBN Corporation,PHILIPPINES
B13H3N,ABSA Bank Ltd Pref.,SOUTH AFRICA
605134,Abu Dhabi Aviation,UNITED ARAB EMIRATES
654546,Abu Dhabi Commercial Bank,UNITED ARAB EMIRATES
600172,Abu Dhabi Islamic Bank,UNITED ARAB EMIRATES
693842,Abu Dhabi Islamic Bank-Egypt,EGYPT
651848,Abu Dhabi National Company for Building Materials - Buldco,UNITED ARAB EMIRATES
B0G3DP,Abu Dhabi National Energy Company,UNITED ARAB EMIRATES
B15CLM,Abu Dhabi National Hotels Company,UNITED ARAB EMIRATES
B0YY7K,Abu Dhabi National Insurance Company,UNITED ARAB EMIRATES
B1JNJ8,Abu Dhabi National Takaful Company PSC,UNITED ARAB EMIRATES
B138C7,Abu Dhabi Ship Building Company,UNITED ARAB EMIRATES
B18SRH,Abyara Planejamento Imob,BRAZIL
