Company Symbol,Company Name,Exchange,Domicile
206030,Astra Cia Argentin Arp1000,ARGENTINA,@NA
206083,Astra Cia Argentin Arp1,ARGENTINA,@NA
670219,Pak Telecom Corp Pkr10 (Vouchers),PAKISTAN,@NA
200542,Acindar Industria Argentina de Aceros SA,ARGENTINA,ARGENTINA
201015,Agrometal SA,ARGENTINA,ARGENTINA
202118,Alpargatas SAIC,ARGENTINA,ARGENTINA
203369,American Plast S.A.,ARGENTINA,ARGENTINA
203534,SA San Miguel Class B,ARGENTINA,ARGENTINA
203898,Alto Palermo SA,ARGENTINA,ARGENTINA
205540,Astra Cia Argentina de Petroleo SA,ARGENTINA,ARGENTINA
206099,Atanor SA,ARGENTINA,ARGENTINA
206977,Bagley Cl B SA,ARGENTINA,ARGENTINA
207437,BBVA Banco Frances SA,ARGENTINA,ARGENTINA
208050,Banco Macro SA Class B,ARGENTINA,ARGENTINA
208447,Bodegas Esmeralda SA,ARGENTINA,ARGENTINA
208741,Bco Macro Sa 'B'Ars1,ARGENTINA,ARGENTINA
209225,Boldt SA,ARGENTINA,ARGENTINA
210772,Banco Santander Rio SA Class B,ARGENTINA,ARGENTINA
212804,Edenor SA Class B,ARGENTINA,ARGENTINA
215856,Gas Natural Ban SA Class B,ARGENTINA,ARGENTINA
216291,Telefonica Holding de Argentina S.A.,ARGENTINA,ARGENTINA
217514,Capex SA Class A,ARGENTINA,ARGENTINA
217877,Cia de Transporte de Energia Electrica Class B,ARGENTINA,ARGENTINA
217906,Carlos Casado SA,ARGENTINA,ARGENTINA
218299,Celulosa Argentina SA,ARGENTINA,ARGENTINA
218437,Central Termoelect 'B'Ars1,ARGENTINA,ARGENTINA
218486,Central Puerto SA Class B,ARGENTINA,ARGENTINA
218677,Endesa Costanera SA,ARGENTINA,ARGENTINA
219262,Caputo SA,ARGENTINA,ARGENTINA
219430,Colorin SA,ARGENTINA,ARGENTINA
219672,Compania Internacional de Bebidas y Alimentos SA,ARGENTINA,ARGENTINA
220064,Compania Industrial Cervecera S.A.,ARGENTINA,ARGENTINA
221343,Sociedad Comercial del Plata SA,ARGENTINA,ARGENTINA
221530,Compania Argentina de Comodoro Rivadavia S.A.,ARGENTINA,ARGENTINA
222542,Corcemar SA,ARGENTINA,ARGENTINA
223338,Cresud SA,ARGENTINA,ARGENTINA
223350,Rigolleau SA Class B,ARGENTINA,ARGENTINA
224098,Ceramica San Lorenzo SA Class B,ARGENTINA,ARGENTINA
226141,C Della Penna Class'A'Ars1.00,ARGENTINA,ARGENTINA
226419,Domec Cia de Artefactos Domesticos SAIC,ARGENTINA,ARGENTINA
227615,Dycasa SA Class B,ARGENTINA,ARGENTINA
228113,Euromayor S.A. de Inversiones,ARGENTINA,ARGENTINA
230487,Central Urbana S.A.,ARGENTINA,ARGENTINA
232175,Angel Estrada & Cia SA Class B,ARGENTINA,ARGENTINA
233516,Ferrum SA (Argentina) Class B,ARGENTINA,ARGENTINA
235541,Fric Rot Sa Ars1,ARGENTINA,ARGENTINA
235938,Banco de Galicia y Buenos Aires SA Class B,ARGENTINA,ARGENTINA
236154,Garovaglio y Zorraquin SA,ARGENTINA,ARGENTINA
237456,Goffre Carbone y Compania S.A.I.C.,ARGENTINA,ARGENTINA
237878,Banco Hipotecario SA Class D,ARGENTINA,ARGENTINA
238205,Papel Prensa S.A.,ARGENTINA,ARGENTINA
238951,Griego(Antonio) Ars1,ARGENTINA,ARGENTINA
239239,Grimoldi SA Class B,ARGENTINA,ARGENTINA
242478,Faplac Sa Com Ars0.10,ARGENTINA,ARGENTINA
243914,Electromac S.A.,ARGENTINA,ARGENTINA
243995,Grupo Concesionario del Oeste SA Class B,ARGENTINA,ARGENTINA
244007,Instituto Rosenbusch SA Class B,ARGENTINA,ARGENTINA
244426,Hulytego S.A.I.C.,ARGENTINA,ARGENTINA
245674,Ind Sider Grassi 'B'Ars1,ARGENTINA,ARGENTINA
245857,IRSA Inversiones y Representaciones SA,ARGENTINA,ARGENTINA
246172,Solvay Indupa SA,ARGENTINA,ARGENTINA
246192,Industrias Petroquimicas Argentinas SA,ARGENTINA,ARGENTINA
246670,Cia Introductora de Buenos Aires SA Class B,ARGENTINA,ARGENTINA
248529,Distribuidora de Gas Cuyana SA Class B,ARGENTINA,ARGENTINA
249997,Pampa Energia SA,ARGENTINA,ARGENTINA
250151,La Agraria 'B'Ars1,ARGENTINA,ARGENTINA
250952,Ledesma SA Agricola Industrial,ARGENTINA,ARGENTINA
251083,Leyden Argentina SA Class B,ARGENTINA,ARGENTINA
253380,Longvie SA Class B,ARGENTINA,ARGENTINA
253999,Petrobras Energia Participaciones SA Cl B,ARGENTINA,ARGENTINA
256593,Massalin Particulares,ARGENTINA,ARGENTINA
257145,Massuh S.A.,ARGENTINA,ARGENTINA
257349,MetroGas SA Class B,ARGENTINA,ARGENTINA
258948,Midland Comercial 'A'Ars0.01,ARGENTINA,ARGENTINA
259276,Mirgor SA Class C,ARGENTINA,ARGENTINA
259573,Holcim (Argentina) SA,ARGENTINA,ARGENTINA
259819,Molinos Juan Semino SA,ARGENTINA,ARGENTINA
259856,Molinos Rio de la Plata SA Class B,ARGENTINA,ARGENTINA
260199,Morixe Hermanos SA,ARGENTINA,ARGENTINA
261331,Grupo Financiero Galicia SA Class B,ARGENTINA,ARGENTINA
262255,Nuevo Continente SA,ARGENTINA,ARGENTINA
263275,Camuzzi Gas Pampeana SA Class B,ARGENTINA,ARGENTINA
264078,Nobleza-Piccardo SAIC,ARGENTINA,ARGENTINA
266911,"Polledo SA Industrial, Constructora y Financiera",ARGENTINA,ARGENTINA
267314,Patricios S.A.,ARGENTINA,ARGENTINA
267368,Metrovias S.A.,ARGENTINA,ARGENTINA
267378,Mercado de Valores de Buenos Aires SA,ARGENTINA,ARGENTINA
268184,Pertrak SA,ARGENTINA,ARGENTINA
268193,Petrobras Argentina SA Class B,ARGENTINA,ARGENTINA
269010,Pirelli Cables SA,ARGENTINA,ARGENTINA
270493,Agritech Inversora S.A.,ARGENTINA,ARGENTINA
270608,Protto Hermanos Ars1,ARGENTINA,ARGENTINA
271762,Grupo Estrella Sa 'B'Ars1,ARGENTINA,ARGENTINA
273072,Garcia Reguera SA,ARGENTINA,ARGENTINA
277306,Importadora y Exportadora de la Patagonia SA Class B,ARGENTINA,ARGENTINA
277853,Siderar SAIC Class A,ARGENTINA,ARGENTINA
278307,Cci-Concesiones Sa Ars0.10,ARGENTINA,ARGENTINA
279167,Carboclor SA,ARGENTINA,ARGENTINA
279213,Sevel Argentina C,ARGENTINA,ARGENTINA
280763,Quickfood SA Class B,ARGENTINA,ARGENTINA
281822,Sniafa S.A.,ARGENTINA,ARGENTINA
285832,Ind Textil Argenti Com Class'B'Ars1,ARGENTINA,ARGENTINA
286498,Supervielle Soc.Generale,ARGENTINA,ARGENTINA
288004,Telecom Argentina SA Class B,ARGENTINA,ARGENTINA
288665,Transportadora de Gas del Sur SA Class B,ARGENTINA,ARGENTINA
289183,Aluar Aluminio Argentina SA,ARGENTINA,ARGENTINA
296434,Grafex SA,ARGENTINA,ARGENTINA
298303,YPF SA Class D,ARGENTINA,ARGENTINA
298896,Zanella Hermanos Y Cia B,ARGENTINA,ARGENTINA
B01F73,Petrolera del Conosur SA,ARGENTINA,ARGENTINA
B01TM7,Fiplasto SA Class B,ARGENTINA,ARGENTINA
B0J0X4,Renault Argentina SA,ARGENTINA,ARGENTINA
B0LWM0,Autopistas del Sol SA Class D,ARGENTINA,ARGENTINA
B1FSNC,Transportadora de Gas del Norte SA Class C,ARGENTINA,ARGENTINA
B1L7D2,Socotherm Americas SA Class B,ARGENTINA,ARGENTINA
B1N742,Insumos Agroquimicos SA Class B,ARGENTINA,ARGENTINA
B1RJQP,Continental Urbana SAI,ARGENTINA,ARGENTINA
B23D3B,Banco Patagonia SA Class B,ARGENTINA,ARGENTINA
B23TFK,Boldt Gaming SA,ARGENTINA,ARGENTINA
B2967L,Grupo Clarin SA Class B,ARGENTINA,ARGENTINA
B29TMW,Empresa Distribuidora Electrica Regional SA Class B,ARGENTINA,ARGENTINA
B39MSV,Consultatio SA,ARGENTINA,ARGENTINA
B45H2H,Banco Suquia S.A.,ARGENTINA,ARGENTINA
B50Z4C,Inversora Juramento SA Class B,ARGENTINA,ARGENTINA
B5KWNM,TGLT SA,ARGENTINA,ARGENTINA
B618DM,Mercado a Termino de Buenos Aires SA,ARGENTINA,ARGENTINA
B80BZ4,Edesal Holding SA,ARGENTINA,ARGENTINA
B82Z9K,Ovoprot International SA,ARGENTINA,ARGENTINA
B83DNV,Meranol S.A.C.I.,ARGENTINA,ARGENTINA
B8N9KW,EGSSA Holding SA,ARGENTINA,ARGENTINA
B8YXRB,Edesa Holding SA,ARGENTINA,ARGENTINA
545645,Bahrain National Holding Company BSC,BAHRAIN,BAHRAIN
601446,Ahli United Bank BSC,BAHRAIN,BAHRAIN
601447,Al Ahlia Insurance Co. BSC,BAHRAIN,BAHRAIN
605042,Arab Intl Insur Co Usd0.25,BAHRAIN,BAHRAIN
607068,BMMI BSC,BAHRAIN,BAHRAIN
607071,Bahrain Middle East Bank BSC,BAHRAIN,BAHRAIN
607077,Bahrain Duty Free Shop Complex,BAHRAIN,BAHRAIN
607078,Bahraini Saudi Bank BSC,BAHRAIN,BAHRAIN
607081,Bahrain Ship Repairing & Engineering Co. BSC,BAHRAIN,BAHRAIN
607134,Bahrain Telecommunications Company BSC,BAHRAIN,BAHRAIN
607137,Bahrain Tourism Co. BSC,BAHRAIN,BAHRAIN
607142,Bahrain Car Parks Co. BSC,BAHRAIN,BAHRAIN
607146,Bahrain Cinema Co. BSC,BAHRAIN,BAHRAIN
607149,Bahrain Commercial Facilities Company BSC,BAHRAIN,BAHRAIN
607155,Bahrain Flour Mills Company BSC,BAHRAIN,BAHRAIN
607158,Gulf Hotels Group BSC,BAHRAIN,BAHRAIN
607166,Bahrain Islamic Bank BSC,BAHRAIN,BAHRAIN
607169,Bahrain Kuwait Insurance Company BSC,BAHRAIN,BAHRAIN
607172,Bahrain Family Leisure Co. BSC,BAHRAIN,BAHRAIN
607334,BBK BSC,BAHRAIN,BAHRAIN
607368,Arab Insurance Group BSC,BAHRAIN,BAHRAIN
608118,Takaful International Company BSC,BAHRAIN,BAHRAIN
608121,Gulf Monetary Group B.S.C.,BAHRAIN,BAHRAIN
626118,Delmon Poultry Co. BSC,BAHRAIN,BAHRAIN
636698,TRAFCO Group BSC,BAHRAIN,BAHRAIN
662357,Esterad Investment Co. BSC,BAHRAIN,BAHRAIN
662528,National Bank of Bahrain BSC,BAHRAIN,BAHRAIN
662563,National Hotels Company BSC,BAHRAIN,BAHRAIN
673523,Gulf Finance House BSC,BAHRAIN,BAHRAIN
674313,Securities & Investment Co. B.S.C.C.,BAHRAIN,BAHRAIN
674314,United Paper Industries BSC,BAHRAIN,BAHRAIN
687631,TAIB Bank BSC,BAHRAIN,BAHRAIN
691319,United Gulf Investment Corporation BSC,BAHRAIN,BAHRAIN
691333,United Gulf Bank BSC,BAHRAIN,BAHRAIN
B02GHL,Investcorp Bank BSC,BAHRAIN,BAHRAIN
B0L4T2,Inovest BSC,KUWAIT,BAHRAIN
B0MLB2,Esterad Invest Co Bhd0.1,BAHRAIN,BAHRAIN
B0R50N,Nass Corporation BSC,BAHRAIN,BAHRAIN
B0R54Q,Banader Hotels Company BSC,BAHRAIN,BAHRAIN
B14VRZ,Al Salam Bank BSC,BAHRAIN,BAHRAIN
B169K3,Arab Banking Corporation B S C,BAHRAIN,BAHRAIN
B16TBG,Al Baraka Banking Group BSC,BAHRAIN,BAHRAIN
B1W6S9,Bahrain Shamel Bank,BAHRAIN,BAHRAIN
B1W6SH,Ithmaar Bank BSC,BAHRAIN,BAHRAIN
B23Q79,Seef Properties BSC,BAHRAIN,BAHRAIN
B39X1M,Khaleeji Commercial Bank BSC,BAHRAIN,BAHRAIN
B4MWYQ,Aluminium Bahrain BSC,BAHRAIN,BAHRAIN
600004,8th ICB Mutual Fund,BANGLADESH,BANGLADESH
600005,Anlima Yarn Dyeing Ltd.,BANGLADESH,BANGLADESH
600683,ACI Limited,BANGLADESH,BANGLADESH
600969,AB Bank Limited,BANGLADESH,BANGLADESH
600971,Aftab Automobiles Ltd.,BANGLADESH,BANGLADESH
600972,ICB Islamic Bank Limited,BANGLADESH,BANGLADESH
601766,Alltex Industries Limited,BANGLADESH,BANGLADESH
602552,Agricultural Marketing Co. Ltd.,BANGLADESH,BANGLADESH
603730,Atlas Bangladesh Limited,BANGLADESH,BANGLADESH
603731,Aziz Pipes Limited.,BANGLADESH,BANGLADESH
603836,Apex Spinning and Knitting Mills Ltd.,BANGLADESH,BANGLADESH
604258,Samorita Hospital Ltd.,BANGLADESH,BANGLADESH
604259,Uttara Finance and Investments Ltd.,BANGLADESH,BANGLADESH
604811,Anwar Galvanizing Ltd.,BANGLADESH,BANGLADESH
605110,Alhaj Textile Mills Limited,BANGLADESH,BANGLADESH
605120,Ambee Pharmaceuticals Limited,BANGLADESH,BANGLADESH
605137,Apex Foods Limited,BANGLADESH,BANGLADESH
605141,Aramit Limited,BANGLADESH,BANGLADESH
605143,Apex Adelchi Footwear Limited,BANGLADESH,BANGLADESH
605146,Apex Tannery Limited.,BANGLADESH,BANGLADESH
605862,Ashraf Textile Mills Ltd.,BANGLADESH,BANGLADESH
607312,C.M.C. Kamal Textile Mills Ltd.,BANGLADESH,BANGLADESH
607785,British American Tobacco Bangladesh Co Ltd.,BANGLADESH,BANGLADESH
608042,Bata Shoe Co. (Bangladesh) Ltd.,BANGLADESH,BANGLADESH
608162,Bangas Limited,BANGLADESH,BANGLADESH
608973,Bangladesh Lamps Limited,BANGLADESH,BANGLADESH
608974,Bangladesh Autocars Limited,BANGLADESH,BANGLADESH
608999,Bangladesh Thai Aluminium Ltd.,BANGLADESH,BANGLADESH
609012,Olympic Industries Ltd.,BANGLADESH,BANGLADESH
