  iShares MSCI Emerging Markets ETF
(EEM) Inception Date:,4/7/2003
Fund Holdings as of,11/15/2013,Holdings are subject to change.
Total Net Assets ($000s),41911539
Number of Securities,822
Stock,99.64%
Cash,0.16%
Other,0.20%
May include dividends booked but not yet received.





CUSIP,ISIN,Sedol,Symbol,Name,% Net Assets,Market Value,Market,Sector,Exchange Rate,Market Price,Shares Held
--,KR7005930003,6771720     ,005930    ,"SAMSUNG ELECTRONICS CO LTD",4.03,1687363965.19,"XKRX","Information Technology",1063.45,1374.77,1227378
--,TW0002330008,6889106     ,2330      ,"TAIWAN SEMICONDUCTOR MANUFAC",2.29,958857231.70,"XTAI","Information Technology",29.56,3.52,272569000
--,HK0941009539,6073556     ,941       ,"CHINA MOBILE LTD",1.67,698998667.09,"XHKG","Telecommunication Services",7.75,10.45,66911000
--,KYG875721485,B01CT30     ,700       ,"TENCENT HOLDINGS LTD",1.48,619449339.78,"XHKG","Information Technology",7.75,54.12,11446600
--,CNE1000002H1,B0LMTQ3     ,939       ,"CHINA CONSTRUCTION BANK-H",1.47,617275942.37,"XHKG","Financials",7.75,0.77,801698760
--,RU0007661625,B59L4L7     ,GAZP      ,"GAZPROM OAO",1.38,579082350.07,"MISX","Energy",32.62,4.51,128391657
99B1G1QD3   ,CNE1000003G1,B1G1QD8     ,1398      ,"IND & COMM BK OF CHINA-H",1.34,563328950.27,"XHKG","Financials",7.75,0.69,819485085
--,MXP001691213,2667470     ,AMXL      ,"AMERICA MOVIL SAB DE C-SER L",1.08,451782883.95,"XMEX","Telecommunication Services",12.96,1.10,409376900
--,KR7005380001,6451055     ,005380    ,"HYUNDAI MOTOR CO",0.99,413060798.55,"XKRX","Consumer Discretionary",1063.45,234.14,1764134
--,BRPETRACNPR6,2684532     ,PETR4     ,"PETROBRAS - PETROLEO BRAS-PR",0.98,409744357.45,"XBSP","Energy",2.31,8.84,46364227
--,BRITUBACNPR1,B037HR3     ,ITUB4     ,"ITAU UNIBANCO HOLDING S-PREF",0.96,403928949.09,"XBSP","Financials",2.31,14.52,27818202
--,ZAE000015889,6622691     ,NPN       ,"NASPERS LTD-N SHS",0.95,398652837.04,"XJSE","Consumer Discretionary",10.17,91.88,4339064
--,BRABEVACNOR1,BG7ZWY7     ,ABEV3     ,"AMBEV SA",0.95,398487491.80,"XBSP","Consumer Staples",2.31,7.55,52781915
--,HK0883013259,B00G0S5     ,883       ,"CNOOC LTD",0.94,391898258.04,"XHKG","Energy",7.75,1.97,198864000
--,CNE1000001Z5,B154564     ,3988      ,"BANK OF CHINA LTD-H",0.93,388955676.15,"XHKG","Financials",7.75,0.46,840063000
--,RU0009029540,4767981     ,SBER      ,"SBERBANK",0.91,382408161.06,"MISX","Financials",32.62,3.18,120314371
--,ZAE000042164,6563206     ,MTN       ,"MTN GROUP LTD",0.87,364938166.13,"XJSE","Telecommunication Services",10.17,19.46,18755970
--,RU0009024277,B59SNS8     ,LKOH      ,"LUKOIL OAO",0.85,357477771.69,"MISX","Energy",32.62,63.48,5631138
--,BRBBDCACNPR8,B00FM53     ,BBDC4     ,"BANCO BRADESCO SA-PREF",0.76,319100363.52,"XBSP","Financials",2.31,13.61,23448658
803866102   ,ZAE000006896,6777450     ,SOL       ,"SASOL LTD",0.75,312626181.43,"XJSE","Energy",10.17,50.89,6143180
--,TW0002317005,6438564     ,2317      ,"HON HAI PRECISION INDUSTRY",0.74,309950813.39,"XTAI","Information Technology",29.56,2.55,121689654
--,BRVALEACNPA3,2257127     ,VALE5     ,"VALE SA-PREF",0.73,304115459.44,"XBSP","Materials",2.31,14.00,21719851
--,BRPETRACNOR9,2682365     ,PETR3     ,"PETROBRAS - PETROLEO BRAS",0.66,277572710.06,"XBSP","Energy",2.31,8.47,32770574
--,CNE1000003W8,6226576     ,857       ,"PETROCHINA CO LTD-H",0.65,272234561.26,"XHKG","Energy",7.75,1.14,239050000
--,INE009A01021,6205122     ,INFO      ,"INFOSYS LTD",0.64,268225674.66,"XNSE","Information Technology",63.26,53.02,5058644
989999990   ,CNE1000002L3,6718976     ,2628      ,"CHINA LIFE INSURANCE CO-H",0.56,232804067.12,"XHKG","Financials",7.75,2.74,84945000
162918999   ,CNE1000002Q2,6291819     ,386       ,"CHINA PETROLEUM & CHEMICAL-H",0.55,231217968.96,"XHKG","Energy",7.75,0.84,275812800
--,BRVALEACNOR0,2196286     ,VALE3     ,"VALE SA",0.54,224469373.72,"XBSP","Materials",2.31,15.51,14476648
--,KR7005490008,6693233     ,005490    ,"POSCO",0.53,222504854.98,"XKRX","Materials",1063.45,307.02,724725
--,KR7005931001,6773812     ,005935    ,"SAMSUNG ELECTRONICS-PREF",0.52,216203782.40,"XKRX","Information Technology",1063.45,948.80,227871
--,MXP320321310,2242059     ,FEMSAUBD  ,"FOMENTO ECONOMICO MEXICA-UBD",0.51,212590132.12,"XMEX","Consumer Staples",12.96,9.47,22456100
--,KR7012330007,6449544     ,012330    ,"HYUNDAI MOBIS CO LTD",0.50,209824139.57,"XKRX","Consumer Discretionary",1063.45,277.40,756398
--,KR7055550008,6397502     ,055550    ,"SHINHAN FINANCIAL GROUP LTD",0.49,204990494.32,"XKRX","Financials",1063.45,42.27,4849768
--,INE001A01036,6171900     ,HDFC      ,"HOUSING DEVELOPMENT FINANCE",0.49,203799040.39,"XNSE","Financials",63.26,12.54,16251516
--,INE002A01018,6099626     ,RIL       ,"RELIANCE INDUSTRIES LTD",0.46,194317135.70,"XNSE","Energy",63.26,13.46,14433749
--,KR7035420009,6560393     ,035420    ,"NAVER CORP",0.45,190564549.05,"XKRX","Information Technology",1063.45,589.59,323215
--,MXP4987V1378,2380108     ,TLEVICPO  ,"GRUPO TELEVISA SAB-SER CPO",0.44,183629859.64,"XMEX","Consumer Discretionary",12.96,6.02,30501600
--,KR7000660001,6450267     ,000660    ,"SK HYNIX INC",0.44,183230518.78,"XKRX","Information Technology",1063.45,31.69,5782090
--,TW0002454006,6372480     ,2454      ,"MEDIATEK INC",0.44,183205953.42,"XTAI","Information Technology",29.56,13.89,13194176
55953Q202   ,US55953Q2021,B2QKYZ0     ,MGNT      ,"MAGNIT OJSC-SPON GDR REGS",0.43,180258397.20,"XLON-IOE","Consumer Staples",1.0,63.30,2847684
--,MXP370711014,2421041     ,GFNORTEO  ,"GRUPO FINANCIERO BANORTE-O",0.42,176811744.57,"XMEX","Financials",12.96,6.53,27065356
--,INE040A01026,B5Q3JZ5     ,HDFCB     ,"HDFC BANK LIMITED",0.42,174930311.07,"XNSE","Financials",63.26,10.15,17231535
99B01FLR4   ,CNE1000003X6,B01FLR7     ,2318      ,"PING AN INSURANCE GROUP CO-H",0.41,170951616.81,"XHKG","Financials",7.75,8.19,20874000
--,INE467B01029,B01NPJ1     ,TCS       ,"TATA CONSULTANCY SVCS LTD",0.40,168953878.50,"XNSE","Information Technology",63.26,32.03,5274910
--,ZAE000109815,B030GJ7     ,SBK       ,"STANDARD BANK GROUP LTD",0.40,168873389.74,"XJSE","Financials",10.17,12.07,13992288
--,KR7000270009,6490928     ,000270    ,"KIA MOTORS CORPORATION",0.40,165982722.12,"XKRX","Consumer Discretionary",1063.45,57.64,2879515
