#,200542,,B3KY0D,,,,200542,,,,
#,201015,,3500,4636,75.50%,,201015,,,,
#,202118,,,,,,202118,,,,
#,203369,,3012,,64.97%,,203369,,,,
#,203534,,,,,,203534,,,,
#,203898,,,,,,203898,,,,
#,205540,,,,,,205540,,,,
#,206030,,,,,,206030,,,,
#,206083,,,,,,206083,,,,
#,206099,,,,,,206099,,,,
#,206977,,,,,,206977,,,,
#,207437,,,,,,207437,,,,
#,208050,,,,,,208050,,,,
#,208447,,,,,,208447,,,,
#,208741,,,,,,208741,,,,
#,209225,,,,,,209225,,,,
#,210772,,,,,,210772,,,,
#,212804,,,,,,212804,,,,
#,215856,,,,,,215856,,,,
#,216291,,,,,,216291,,,,
,217514,,,,,,217877,,,,
#,217877,,,,,,217906,,,,
#,217906,,,,,,218299,,,,
#,218299,,,,,,218437,,,,
#,218437,,,,,,218486,,,,
#,218486,,,,,,218677,,,,
#,218677,,,,,,219262,,,,
#,219262,,,,,,219430,,,,
#,219430,,,,,,219672,,,,
#,219672,,,,,,220064,,,,
#,220064,,,,,,221343,,,,
#,221343,,,,,,221530,,,,
#,221530,,,,,,222542,,,,
#,222542,,,,,,223338,,,,
#,223338,,,,,,223350,,,,
#,223350,,,,,,224098,,,,
#,224098,,,,,,226141,,,,
#,226141,,,,,,226419,,,,
#,226419,,,,,,227615,,,,
#,227615,,,,,,228113,,,,
#,228113,,,,,,230487,,,,
#,230487,,,,,,232175,,,,
#,232175,,,,,,233516,,,,
#,233516,,,,,,235541,,,,
#,235541,,,,,,235938,,,,
#,235938,,,,,,236154,,,,
#,236154,,,,,,237456,,,,
#,237456,,,,,,237878,,,,
#,237878,,,,,,238205,,,,
#,238205,,,,,,238951,,,,
#,238951,,,,,,239239,,,,
#,239239,,,,,,242478,,,,
#,242478,,,,,,243914,,,,
#,243914,,,,,,243995,,,,
#,243995,,,,,,244007,,,,
#,244007,,,,,,244426,,,,
#,244426,,,,,,245674,,,,
#,245674,,,,,,245857,,,,
#,245857,,,,,,246172,,,,
#,246172,,,,,,246192,,,,
#,246192,,,,,,246670,,,,
#,246670,,,,,,248529,,,,
#,248529,,,,,,249997,,,,
#,249997,,,,,,250151,,,,
#,250151,,,,,,250952,,,,
#,250952,,,,,,251083,,,,
#,251083,,,,,,253380,,,,
#,253380,,,,,,253999,,,,
#,253999,,,,,,256593,,,,
#,256593,,,,,,257145,,,,
#,257145,,,,,,257349,,,,
#,257349,,,,,,258948,,,,
#,258948,,,,,,259276,,,,
#,259276,,,,,,259573,,,,
#,259573,,,,,,259819,,,,
#,259819,,,,,,259856,,,,
#,259856,,,,,,260199,,,,
#,260199,,,,,,261331,,,,
#,261331,,,,,,262255,,,,
#,262255,,,,,,263275,,,,
#,263275,,,,,,264078,,,,
#,264078,,,,,,266911,,,,
#,266911,,,,,,267314,,,,
#,267314,,,,,,267368,,,,
#,267368,,,,,,267378,,,,
#,267378,,,,,,268184,,,,
#,268184,,,,,,268193,,,,
#,268193,,,,,,269010,,,,
#,269010,,,,,,270493,,,,
#,270493,,,,,,270608,,,,
#,270608,,,,,,271762,,,,
#,271762,,,,,,273072,,,,
#,273072,,,,,,277306,,,,
#,277306,,,,,,277853,,,,
#,277853,,,,,,278307,,,,
#,278307,,,,,,279167,,,,
#,279167,,,,,,279213,,,,
#,279213,,,,,,280763,,,,
#,280763,,,,,,281822,,,,
#,281822,,,,,,285832,,,,
#,285832,,,,,,286498,,,,
#,286498,,,,,,288004,,,,
#,288004,,,,,,288665,,,,
#,288665,,,,,,289183,,,,
#,289183,,,,,,296434,,,,
#,296434,,,,,,298303,,,,
#,298303,,,,,,298896,,,,
#,298896,,,,,,403107,,,,
#,403107,,,,,,403125,,,,
#,403125,,,,,,409599,,,,
#,409599,,,,,,420742,,,,
#,420742,,,,,,422010,,,,
#,422010,,,,,,422443,,,,
#,422443,,,,,,422555,,,,
#,422555,,,,,,436798,,,,
#,436798,,,,,,439248,,,,
#,439248,,,,,,441335,,,,
#,441335,,,,,,453148,,,,
#,453148,,,,,,453754,,,,
#,453754,,,,,,463280,,,,
#,463280,,,,,,479869,,,,
#,479869,,,,,,480713,,,,
#,480713,,,,,,496607,,,,
#,496607,,,,,,500033,,,,
#,500033,,,,,,500041,,,,
#,500041,,,,,,500138,,,,
#,500138,,,,,,500198,,,,
#,500198,,,,,,500208,,,,
#,500208,,,,,,500348,,,,
#,500348,,,,,,501982,,,,
#,501982,,,,,,501983,,,,
#,501983,,,,,,501985,,,,
